Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,105.000000,132.500000,97.500000,125.000000,72.677849,10635975000
2004-01-01,125.000000,167.500000,122.500000,142.500000,82.852760,7464990000
2004-02-01,142.500000,165.000000,135.000000,155.000000,90.120537,4492050000
2004-03-01,155.000000,165.000000,137.500000,152.500000,88.666977,4940000000
2004-04-01,150.000000,202.500000,150.000000,172.500000,100.295425,4260825000
2004-05-01,172.500000,175.000000,147.500000,172.500000,100.295425,5826845000
2004-06-01,170.000000,170.000000,147.500000,167.500000,97.388344,3413095000
2004-07-01,165.000000,182.500000,162.500000,172.500000,100.295425,2820760000
2004-08-01,172.500000,175.000000,157.500000,172.500000,104.749306,2274105000
2004-09-01,172.500000,205.000000,170.000000,205.000000,124.484726,3789385000
2004-10-01,205.000000,227.500000,190.000000,195.000000,118.412285,5614880000
2004-11-01,195.000000,245.000000,195.000000,242.500000,147.256287,7715610000
2004-12-01,242.500000,295.000000,230.000000,287.500000,174.582214,6786645000
2005-01-01,287.500000,287.500000,265.000000,275.000000,166.991653,3664020000
2005-02-01,275.000000,340.000000,270.000000,327.500000,198.871918,2824780000
2005-03-01,327.500000,335.000000,257.500000,285.000000,173.064102,3181510000
2005-04-01,285.000000,305.000000,262.500000,267.500000,162.437363,2433670000
2005-05-01,267.500000,292.500000,265.000000,290.000000,176.100281,1598765000
2005-06-01,287.500000,292.500000,262.500000,290.000000,176.100281,5775950000
2005-07-01,290.000000,320.000000,280.000000,320.000000,204.566162,3530080000
2005-08-01,317.500000,332.500000,205.000000,257.500000,164.611847,7216745000
2005-09-01,255.000000,287.500000,240.000000,270.000000,172.602722,3315300000
2005-10-01,267.500000,270.000000,230.000000,245.000000,156.620972,2059255000
2005-11-01,245.000000,302.500000,235.000000,297.500000,190.182602,3113395000
2005-12-01,297.500000,312.500000,290.000000,302.500000,193.378967,2469320000
2006-01-01,300.000000,352.500000,300.000000,340.000000,217.351532,3819475000
2006-02-01,340.000000,342.500000,310.000000,325.000000,207.762497,2885915000
2006-03-01,332.500000,415.000000,322.500000,397.500000,254.109543,3959170000
2006-04-01,410.000000,505.000000,395.000000,462.500000,295.662048,2223225000
2006-05-01,450.000000,462.500000,365.000000,395.000000,252.511398,5989960000
2006-06-01,380.000000,425.000000,345.000000,410.000000,262.100372,4800845000
2006-07-01,410.000000,435.000000,390.000000,427.500000,282.849213,2748375000
2006-08-01,437.500000,460.000000,425.000000,435.000000,287.811462,2674265000
2006-09-01,450.000000,507.500000,435.000000,490.000000,324.201416,3185640000
2006-10-01,490.000000,505.000000,475.000000,490.000000,324.201416,1530545000
2006-11-01,490.000000,575.000000,485.000000,535.000000,353.975006,1730100000
2006-12-01,535.000000,540.000000,495.000000,515.000000,340.742340,2190850000
2007-01-01,515.000000,545.000000,450.000000,530.000000,350.666779,2866205000
2007-02-01,520.000000,530.000000,440.000000,475.000000,314.276917,3298620000
2007-03-01,482.500000,515.000000,470.000000,505.000000,334.126007,2408000000
2007-04-01,520.000000,565.000000,505.000000,525.000000,347.358673,2941200000
2007-05-01,530.000000,630.000000,520.000000,610.000000,403.597778,2404560000
2007-06-01,610.000000,650.000000,560.000000,575.000000,380.440521,2622375000
2007-07-01,595.000000,675.000000,570.000000,630.000000,427.957825,3304980000
2007-08-01,605.000000,640.000000,510.000000,625.000000,424.561249,3735380000
2007-09-01,630.000000,705.000000,610.000000,660.000000,448.336700,1970500000
2007-10-01,690.000000,810.000000,660.000000,775.000000,526.455994,2500955000
2007-11-01,795.000000,870.000000,705.000000,780.000000,529.852295,3268695000
2007-12-01,785.000000,800.000000,725.000000,740.000000,502.680481,1608675000
2008-01-01,740.000000,780.000000,610.000000,700.000000,475.508728,2768960000
2008-02-01,700.000000,760.000000,665.000000,720.000000,489.094635,1725595000
2008-03-01,700.000000,710.000000,525.000000,630.000000,427.957825,2909690000
2008-04-01,630.000000,640.000000,530.000000,595.000000,404.182343,3130860000
2008-05-01,595.000000,695.000000,570.000000,580.000000,393.992828,2710080000
2008-06-01,585.000000,605.000000,465.000000,510.000000,346.441986,6200765000
2008-07-01,530.000000,640.000000,510.000000,610.000000,429.399780,5025820000
2008-08-01,590.000000,625.000000,560.000000,585.000000,411.801453,1874245000
2008-09-01,595.000000,645.000000,457.500000,540.000000,380.124390,4303220000
2008-10-01,540.000000,540.000000,250.000000,345.000000,242.857208,4820015020
2008-11-01,350.000000,412.500000,240.000000,340.000000,239.337585,7238625000
2008-12-01,340.000000,465.000000,295.000000,457.500000,322.049805,3908220000
2009-01-01,457.500000,510.000000,425.000000,455.000000,320.289917,2323690000
2009-02-01,435.000000,455.000000,370.000000,372.500000,262.215424,2419860000
2009-03-01,362.500000,465.000000,355.000000,420.000000,295.652283,3844190000
2009-04-01,420.000000,590.000000,420.000000,580.000000,408.281677,4796755000
2009-05-01,590.000000,690.000000,550.000000,625.000000,439.958771,3166175000
2009-06-01,640.000000,695.000000,555.000000,630.000000,443.478424,3670030000
2009-07-01,645.000000,765.000000,625.000000,730.000000,526.625244,4147400000
2009-08-01,740.000000,790.000000,680.000000,760.000000,548.267456,3136035000
2009-09-01,740.000000,790.000000,710.000000,750.000000,541.053406,3015660000
2009-10-01,765.000000,870.000000,680.000000,710.000000,512.197144,5010540000
2009-11-01,725.000000,775.000000,685.000000,740.000000,533.839172,4873495000
2009-12-01,760.000000,805.000000,730.000000,765.000000,551.874390,2282735000
2010-01-01,765.000000,830.000000,750.000000,765.000000,554.992920,2767330000
2010-02-01,755.000000,770.000000,695.000000,715.000000,518.718872,3089200000
2010-03-01,720.000000,845.000000,710.000000,825.000000,598.521790,4970810000
2010-04-01,870.000000,905.000000,795.000000,895.000000,649.305481,4291720000
2010-05-01,890.000000,910.000000,760.000000,860.000000,623.913513,4076110000
2010-06-01,835.000000,975.000000,830.000000,930.000000,674.697327,2548535000
2010-07-01,910.000000,1015.000000,900.000000,990.000000,727.419983,2251420000
2010-08-01,945.000000,985.000000,880.000000,930.000000,683.333862,3174175000
2010-09-01,960.000000,1080.000000,935.000000,1000.000000,734.767700,3050570000
2010-10-01,1005.000000,1190.000000,985.000000,1140.000000,837.635193,2491565000
2010-11-01,1210.000000,1280.000000,1050.000000,1050.000000,771.506104,2589070000
2010-12-01,1085.000000,1170.000000,980.000000,1050.000000,771.506104,3709020000
2011-01-01,1035.000000,1080.000000,905.000000,970.000000,715.639832,6471570000
2011-02-01,980.000000,1000.000000,905.000000,940.000000,693.506653,3514862500
2011-03-01,980.000000,1160.000000,945.000000,1150.000000,848.438965,3999162500
2011-04-01,1170.000000,1330.000000,1130.000000,1290.000000,951.727356,3479465000
2011-05-01,1310.000000,1320.000000,1200.000000,1270.000000,936.971741,3897467500
2011-06-01,1250.000000,1310.000000,1220.000000,1300.000000,968.976135,2430925000
2011-07-01,1340.000000,1390.000000,1300.000000,1380.000000,1028.605591,3169822500
2011-08-01,1440.000000,1450.000000,1200.000000,1310.000000,976.429871,4828435000
2011-09-01,1310.000000,1400.000000,1000.000000,1170.000000,872.078674,5833022500
2011-10-01,1060.000000,1380.000000,1030.000000,1350.000000,1006.244690,4457762500
2011-11-01,1310.000000,1410.000000,1270.000000,1300.000000,968.976135,3051985000
2011-12-01,1300.000000,1410.000000,1270.000000,1350.000000,1006.244690,1778870000
2012-01-01,1360.000000,1440.000000,1350.000000,1370.000000,1021.152161,2443002515
2012-02-01,1410.000000,1450.000000,1310.000000,1380.000000,1028.605591,3578840000
2012-03-01,1340.000000,1410.000000,1280.000000,1390.000000,1036.059448,3906340015
2012-04-01,1410.000000,1420.000000,1290.000000,1330.000000,991.337463,2883552500
2012-05-01,1330.000000,1340.000000,1120.000000,1130.000000,855.954895,5083102515
2012-06-01,1100.000000,1270.000000,1030.000000,1270.000000,962.002380,3892367500
2012-07-01,1270.000000,1410.000000,1250.000000,1400.000000,1060.474854,3260082500
2012-08-01,1390.000000,1510.000000,1330.000000,1390.000000,1052.900269,2786570000
2012-09-01,1420.000000,1500.000000,1380.000000,1490.000000,1128.648438,2551995000
2012-10-01,1480.000000,1570.000000,1460.000000,1480.000000,1121.073608,2763182500
2012-11-01,1440.000000,1470.000000,1400.000000,1410.000000,1068.049805,3202677500
2012-12-01,1410.000000,1450.000000,1360.000000,1390.000000,1052.900269,2003950015
2013-01-01,1390.000000,1600.000000,1390.000000,1590.000000,1204.396606,3641730000
2013-02-01,1600.000000,1890.000000,1580.000000,1890.000000,1431.641479,2394762515
2013-03-01,1840.000000,1890.000000,1700.000000,1750.000000,1325.593872,2862845000
2013-04-01,1750.000000,1880.000000,1650.000000,1880.000000,1458.188477,3300640030
2013-05-01,1900.000000,1990.000000,1780.000000,1780.000000,1380.625244,2977732500
2013-06-01,1770.000000,1770.000000,1410.000000,1550.000000,1202.229980,5144352515
2013-07-01,1550.000000,1670.000000,1430.000000,1650.000000,1279.793213,3102620000
2013-08-01,1640.000000,1690.000000,1250.000000,1320.000000,1023.834534,5066967500
2013-09-01,1320.000000,1730.000000,1240.000000,1450.000000,1124.666626,4741340000
2013-10-01,1450.000000,1700.000000,1450.000000,1580.000000,1225.498901,3414990000
2013-11-01,1580.000000,1610.000000,1440.000000,1490.000000,1155.692017,3075445000
2013-12-01,1510.000000,1550.000000,1350.000000,1450.000000,1124.666626,2558940000
2014-01-01,1450.000000,1770.000000,1400.000000,1665.000000,1291.427734,4047180500
2014-02-01,1665.000000,1970.000000,1625.000000,1855.000000,1438.797729,4433752000
2014-03-01,1850.000000,2100.000000,1805.000000,1915.000000,1485.335571,4016940980
2014-04-01,1950.000000,2050.000000,1870.000000,1980.000000,1535.751587,3768877000
2014-05-01,1980.000000,2210.000000,1980.000000,2040.000000,1620.882080,2393950000
2014-06-01,2060.000000,2080.000000,1970.000000,2065.000000,1640.745972,2877657000
2014-07-01,2075.000000,2440.000000,2020.000000,2240.000000,1779.792236,3555361500
2014-08-01,2240.000000,2275.000000,2120.000000,2210.000000,1755.955688,3212324500
2014-09-01,2210.000000,2235.000000,2030.000000,2085.000000,1656.636963,3310124500
2014-10-01,2150.000000,2215.000000,2000.000000,2215.000000,1759.928345,3691887500
2014-11-01,2220.000000,2310.000000,2120.000000,2305.000000,1831.437988,1785574000
2014-12-01,2300.000000,2345.000000,2200.000000,2330.000000,1851.301636,2263902000
2015-01-01,2330.000000,2420.000000,2265.000000,2335.000000,1855.274048,2732303500
2015-02-01,2335.000000,2610.000000,2320.000000,2575.000000,2045.966797,3267502000
2015-03-01,2575.000000,2655.000000,2520.000000,2655.000000,2109.530762,2290861500
2015-04-01,2655.000000,2690.000000,2250.000000,2325.000000,1885.835327,3060976500
2015-05-01,2325.000000,2550.000000,2280.000000,2355.000000,1910.168823,2737255000
2015-06-01,2345.000000,2355.000000,2010.000000,2070.000000,1679.001709,3899353000
2015-07-01,2070.000000,2180.000000,1860.000000,2000.000000,1622.223999,2812519000
2015-08-01,2025.000000,2175.000000,1805.000000,2125.000000,1723.612915,3204326500
2015-09-01,2080.000000,2110.000000,1595.000000,1730.000000,1403.223755,3273851000
2015-10-01,1745.000000,2340.000000,1710.000000,2105.000000,1707.390747,3331422000
2015-11-01,2070.000000,2320.000000,2040.000000,2155.000000,1747.946289,2364855000
2015-12-01,2205.000000,2320.000000,2085.000000,2285.000000,1853.390991,1982310000
2016-01-01,2285.000000,2365.000000,2150.000000,2245.000000,1820.946411,2113014000
2016-02-01,2270.000000,2460.000000,2085.000000,2215.000000,1796.613037,3491019000
2016-03-01,2200.000000,2300.000000,2130.000000,2285.000000,1853.390991,2566506500
2016-04-01,2260.000000,2260.000000,2010.000000,2070.000000,1679.001709,2204865000
2016-05-01,2090.000000,2135.000000,1905.000000,2070.000000,1721.697510,2668097500
2016-06-01,2070.000000,2185.000000,1980.000000,2160.000000,1796.553955,2304333500
2016-07-01,2180.000000,2400.000000,2140.000000,2305.000000,1917.155884,2370016500
2016-08-01,2320.000000,2450.000000,2295.000000,2330.000000,1937.949341,3297740000
2016-09-01,2310.000000,2450.000000,2300.000000,2440.000000,2029.440674,2405415500
2016-10-01,2440.000000,2480.000000,2365.000000,2440.000000,2029.440674,1806430500
2016-11-01,2450.000000,2595.000000,2085.000000,2180.000000,1813.188843,3335322000
2016-12-01,2180.000000,2375.000000,2155.000000,2335.000000,1942.108154,2038477500
2017-01-01,2335.000000,2465.000000,2315.000000,2345.000000,1950.425415,1534838000
2017-02-01,2360.000000,2425.000000,2330.000000,2390.000000,1987.853394,1973856500
2017-03-01,2370.000000,2650.000000,2370.000000,2595.000000,2158.360107,2456600000
2017-04-01,2595.000000,2650.000000,2485.000000,2580.000000,2211.152100,1394689500
2017-05-01,2580.000000,3060.000000,2580.000000,2895.000000,2481.118652,2568201000
2017-06-01,2895.000000,3060.000000,2840.000000,3050.000000,2613.958740,1312708000
2017-07-01,3000.000000,3100.000000,2860.000000,2955.000000,2532.540527,2439248500
2017-08-01,2980.000000,3070.000000,2955.000000,3025.000000,2592.532959,1706344500
2017-09-01,3025.000000,3150.000000,2935.000000,3055.000000,2618.244141,1734473500
2017-10-01,3055.000000,3150.000000,3025.000000,3120.000000,2673.951172,2053861500
2017-11-01,3115.000000,3410.000000,3115.000000,3210.000000,2751.084473,2431156100
2017-12-01,3210.000000,3720.000000,3210.000000,3640.000000,3119.609863,1524356200
2018-01-01,3640.000000,3920.000000,3460.000000,3700.000000,3171.032227,2611356400
2018-02-01,3730.000000,3910.000000,3650.000000,3780.000000,3239.594727,2061359700
2018-03-01,3800.000000,3820.000000,3450.000000,3600.000000,3085.328613,2486934900
2018-04-01,3500.000000,3670.000000,3160.000000,3220.000000,2759.654785,1081214100
2018-05-01,3220.000000,3300.000000,2720.000000,3080.000000,2712.795654,4487882600
2018-06-01,3080.000000,3270.000000,2740.000000,2840.000000,2501.408936,2473641400
2018-07-01,2890.000000,3110.000000,2770.000000,3070.000000,2703.987793,2195350000
2018-08-01,3070.000000,3470.000000,3020.000000,3180.000000,2800.873535,2482175800
2018-09-01,3180.000000,3220.000000,2900.000000,3150.000000,2774.450195,2379024600
2018-10-01,3150.000000,3190.000000,2870.000000,3150.000000,2774.450195,2166202100
2018-11-01,3190.000000,3760.000000,3160.000000,3620.000000,3188.415771,2748992500
2018-12-01,3720.000000,3780.000000,3520.000000,3660.000000,3223.646973,2051181200
2019-01-01,3660.000000,3870.000000,3580.000000,3850.000000,3390.994873,2729471400
2019-02-01,3880.000000,4000.000000,3750.000000,3850.000000,3390.994873,1838177500
2019-03-01,3870.000000,4140.000000,3780.000000,4110.000000,3619.996826,1499068200
2019-04-01,4140.000000,4730.000000,4130.000000,4370.000000,3848.998779,1915132300
2019-05-01,4370.000000,4420.000000,3660.000000,4100.000000,3611.188965,3300702100
2019-06-01,4100.000000,4400.000000,4100.000000,4360.000000,3963.902344,1515690500
2019-07-01,4400.000000,4560.000000,4360.000000,4480.000000,4073.000488,1656703800
2019-08-01,4490.000000,4510.000000,4000.000000,4270.000000,3882.078857,2367194500
2019-09-01,4270.000000,4350.000000,4020.000000,4120.000000,3745.705811,1911004700
2019-10-01,4120.000000,4320.000000,3810.000000,4210.000000,3827.529541,2423888300
2019-11-01,4220.000000,4330.000000,3900.000000,4090.000000,3718.431396,2468453600
2019-12-01,4150.000000,4470.000000,4120.000000,4400.000000,4000.268311,1798699400
2020-01-01,4400.000000,4760.000000,4320.000000,4460.000000,4054.817871,2351590900
2020-02-01,4460.000000,4690.000000,3910.000000,4190.000000,3809.346436,2435595500
2020-03-01,4190.000000,4300.000000,2440.000000,3020.000000,2842.662598,5387621200
2020-04-01,3010.000000,3240.000000,2560.000000,2730.000000,2569.691650,5683052300
2020-05-01,2730.000000,2950.000000,2160.000000,2950.000000,2776.772949,6235053200
2020-06-01,2950.000000,3370.000000,2800.000000,3030.000000,2852.075684,5568797700
2020-07-01,3040.000000,3250.000000,3030.000000,3160.000000,2974.441650,3111289700
2020-08-01,3170.000000,3820.000000,2970.000000,3510.000000,3303.889404,3445986500
2020-09-01,3550.000000,3690.000000,3000.000000,3040.000000,2861.488281,4003400300
2020-10-01,3090.000000,3400.000000,3060.000000,3360.000000,3162.697510,2782132900
2020-11-01,3360.000000,4390.000000,3290.000000,4090.000000,3849.831299,4865113600
2020-12-01,4130.000000,4450.000000,3950.000000,4170.000000,3925.133545,2856556400
2021-01-01,4170.000000,4950.000000,4150.000000,4180.000000,3934.546387,3599743200
2021-02-01,4180.000000,4870.000000,3960.000000,4710.000000,4433.424316,2715917800
2021-03-01,4800.000000,4880.000000,4260.000000,4400.000000,4141.627441,2469002800
2021-04-01,4350.000000,4460.000000,4050.000000,4050.000000,3812.180176,2752110600
2021-05-01,4060.000000,4280.000000,3820.000000,4260.000000,4097.568359,2769409500
2021-06-01,4350.000000,4390.000000,3860.000000,3940.000000,3789.770020,3325217700
2021-07-01,3940.000000,4030.000000,3700.000000,3710.000000,3568.539795,2132270600
2021-08-01,3770.000000,4090.000000,3481.758057,3572.665527,3436.441650,2290574201
2021-09-01,3572.665527,3880.000000,3463.576416,3850.000000,3703.201660,6073477827
2021-10-01,3850.000000,4460.000000,3830.000000,4250.000000,4087.949951,4745652300
2021-11-01,4330.000000,4340.000000,4080.000000,4090.000000,3934.050537,2919948500
2021-12-01,4090.000000,4250.000000,4050.000000,4110.000000,3953.288086,2371759500
2022-01-01,4120.000000,4240.000000,4000.000000,4070.000000,3914.813232,2155349200
2022-02-01,4120.000000,4550.000000,4060.000000,4550.000000,4376.511230,3079276500
2022-03-01,4850.000000,4860.000000,4370.000000,4660.000000,4482.316895,4613209200
2022-04-01,4690.000000,4980.000000,4530.000000,4870.000000,4870.000000,3026100600
2022-05-01,4870.000000,4870.000000,4250.000000,4630.000000,4630.000000,3667527100
2022-06-01,4540.000000,4600.000000,4120.000000,4150.000000,4150.000000,3367868300
2022-07-01,4150.000000,4430.000000,3960.000000,4360.000000,4360.000000,2883007400
2022-08-01,4390.000000,4470.000000,4220.000000,4340.000000,4340.000000,3068759600
2022-09-01,4320.000000,4700.000000,4310.000000,4490.000000,4490.000000,4101714400
2022-10-01,4500.000000,4680.000000,4260.000000,4650.000000,4650.000000,3532993300
2022-11-01,4690.000000,4700.000000,4570.000000,4650.000000,4650.000000,973603100
